朝代,地区,姓名,名次,任官经历,著作,出身,婚嫁,轶事
康熙六十年辛丑,杭州府仁和县,俞元祺,监生。康熙五十三年（1714）乡试第五名，康熙六十年（1721）会试第四十七名，殿试第二甲第二十六名，赐进士出身，选翰林院庶吉士。时年三十四岁。,雍正元年（1723）散馆，授翰林院编修，累迁监察御史。乞养归。,,曾祖时习，祖之琛，父九成，母汪氏，慈侍下。,娶周氏。,康熙六十年进士，授编修。母老不能迎养，告归。”
康熙六十年辛丑,杭州府仁和县,蒋大成,廪膳生。康熙五十九年（1720）乡试第五十五名，康熙六十年（1721）会试第四十一名，殿试第三甲第五十三名，赐同进士出身，时年三十三岁。,雍正元年（1723）补内阁中书，充雍正四年（1726）河南乡试考官，历云南永昌府同知、大理府同知。乾隆五年（1740）授山东青州府同知，历四川保宁府知府、安徽宁国府知府。,,曾祖有容，祖廷瑞，父钊，母沈氏，具庆下。,娶张氏。,
康熙三十九年庚辰,杭州府海宁县,查嗣璟,康熙三十八年（1699）乡试第二十七名，康熙三十九年（1700）会试第二百五十四名，殿试第二甲第十三名，赐进士出身，授翰林院清书庶吉士。,康熙四十二年（1703）散馆，授翰林院编修。康熙五十一年（1712）任直隶省提督学政，明年充广东乡试考官，仕至翰林院侍讲。晚年受查嗣庭案牵连，谪遣关西，卒于戌所。年八十二。,《查浦诗钞》《查浦辑闻》《音类通考》《南北史识小录》,查慎行弟。全祖望《结琦亭集外编》卷七《翰林院编修初白查先生墓表》“先生长子克建，成进士最早。后三年，先生次弟嗣琏继之，为翰林。又三年，先生入馆。又三年，嗣廷继之，克建亦入为刑部。”,,《国朝耆献类征初编》卷一二二《词臣》之《查慎行》“少受学于余姚黄宗羲……嗣璟，慎行弟，康熙三十九年进士，改庶吉士。四十二年，散馆授编修。济官侍讲……以嗣庭罪逮，谪遣关西，卒于戌所。著有《查浦诗钞》《查浦辑闻》《南北史识小录》《音类通考》”
康熙三十九年庚辰,杭州府海宁县,陈吴岳,康熙二十六年（1687）丁卯科乡试第三十一名，康熙三十九年（1700）会试第二百三十四名，殿试第二甲第二十四名，赐进士出身。,授湖北汉阳府汉川县知县，行取授礼部主事，卒于官。,,,,《府志》：吴岳官汉川知县，遇水灾，发仓振之，全活无算。寒水坏庐舍，相地筑堤，民免漂流。报最，行取礼部主事，卒于官。
康熙四十二年癸未,杭州府海宁县,陈邦彦,康熙四十一年（1702）乡试第七十一名，康熙四十二年（1703）会试第八十名，殿试第二甲第六名，赐进士出身，授翰林院庶吉士。,散馆授翰林院编修，累迁翰林侍读学士，仕至礼部右侍郎。,工楷法，著有《墨庄小稿》,,,《海宁州志稿》卷二九《人物志·文苑·清》：“陈邦彦，字世南，号鲍庐……工楷法。康熙癸未进士，入词馆，侍直内廷。上方注意典籍，岁开数馆编纂，往往被命校，御制碑版文亦时奉敕缮写。以侍读学士归。日与楷墨相亲，乞书者踵相接……乾隆初，起原官，仕终礼部侍郎。”
康熙四十二年癸未,杭州府海宁县,陈世信,康熙四十一年（1702）顺天乡试第八十七名，康熙四十二年（1703）会试第一百二十三名，殿试第二甲第九名，赐进士出身，授翰林院庶吉士。,散馆授编修，累迁侍讲学士，提督顺天、江西学政，历充山东、广东、顺天乡试考官，两充会试考官。雍正二年（1724）擢内阁学士，授山东巡抚。乾隆四年（1739）迁都察院左都御史，转工部尚书。仕至文渊阁大学士兼工部尚书、兼管礼部事务。乾隆二十三年（1758）卒，谥文勤。,,本姓高氏，世隶汴籍。始迁祖东园公，为海宁县陈氏赘婿，生月轩公，少依母家，遂承母姓,,辛酉拜文渊阁大学士……旋进阶太子太保。秋弥春巡，扈从无虚日。因拟票签字误罢职。辛未迎銮召对，御书‘纶扉耆旧’赐之，复入相。壬申、甲戌两宪会试总裁，戊寅冬以衰老乞休，特进太子太傅，赐诗宠其行……卒于赐第，谥文勤，赐祭葬如礼。
康熙四十二年癸未,杭州府海宁县,查嗣珣,康熙三十五年（1696）乡试第十二名，明年会试第会试六十一名，康熙四十二年（1703）补殿试，第二甲第二十名，赐进士出身。,任云南大理府太和县知县，擢吏部主事，告归,《荣古堂诗》,,,"《杭州府志》《人物四·仕绩四·国朝》:""查嗣珣,字国瑛,海宁人。康熙四十二年进士,知太和县。滇俗尚鬼,多淫祠,嗣珣初下车,即令乡啬夫搜集木偶数十百,置浡水祠旁,悉焚之,其风始息。居官七年,修学宫,缓狱轻徭,治行称最,擢吏部主事,告归。"""
康熙四十二年癸未,杭州府海宁县,祝安国,康熙三十五年（1696）乡试第七名，康熙四十二年（1703）会试第一百五十一名（一作第一百五十四名），殿试第三甲第九名，赐同进士出身。,任广东韶州府仁化县知县，病卒于官。,,,,《海宁州志稿》《人物志·循吏·清》：“祝安国，字济叔，号易斋。康熙癸未进士，授仁化知县……僻地士未知学，乃创义塾教之，风气稍开。会中炎瘴，校士出闹，病卒。”
康熙四十五年丙戌,杭州府海宁县,沈翼机,康熙三十五年（1696）乡试第二十七名，康熙四十五年（1706）会试第一百五十八名，殿试第二甲第十名，赐进士出身，授翰林院满书庶吉士。,康熙四十八年（1709）散馆，授翰林院编修，迁国子监司业、翰林院侍读学士。康熙五十六年（1717）提督贵州学政，雍正元年（1723）提督江西学政。充康熙五十三年（1714）四川乡试、雍正五年（1727）会试考官。乞假归里，与修《浙江通志》。乾隆初补原官，逾年归休。,《澹初诗集》,,,《海宁州志稿》《人物志·文苑·清》：“沈翼机，字西园，号澹初……幼即英特，长而浸淫经史。康熙丙戌成进士，选入词馆，覃精国书，深通翻译奥义，分纂秘阁诸书，多所折衷，后进争师之。以编修典试四川，督学贵州……迁国子监司业，沛升侍读学士，复出视江西学，人文之薮，益砥公明。乞假旋里，惟著书自娱。会修《浙江通志》，大吏延总其成。乾隆初，补原官，逾年归休。徜徉物外，年七十有七卒。”
康熙四十五年丙戌,杭州府海宁县,查嗣庭,康熙四十四年（1705）乡试举人，康熙四十五年（1706）会试第一百十四名，殿试第二甲第二十四名，赐进士出身，授翰林院汉书庶吉士。,康熙四十八年（1709）散馆，授翰林院编修，迁内阁学士、礼部侍郎，历充湖广、山西乡试考官。雍正四年（1726）典试江西，出《大学》题“维民所止”，攻击者以“维止”二字取“雍正”而去其首，大兴文字狱。嗣庭入狱，雍正五年（1727）死狱中，终年六十四岁。,《双遂堂遗集》《晴川集》,查克建父？（查克建应为查嗣琏即查慎行），查嗣璟、查慎行弟。,,《清代诗文集汇编》二一二册页六五七：“查嗣庭，字润木，号横浦、查溪，浙江海宁人。生于康熙三年（一六六四），卒于雍正五年（一七二七）。慎行弟。康熙四十五年（一七〇六）进士，授翰林院编修。以吏部尚书隆科多、左都御史蔡琛保奏荐举，官至礼部侍郎。雍正四年典试江西，甫回京即遭文字狱，以其所出试题讽刺时事，心怀怨望，抄家查出之日记笔韵语多犯忌而定罪，翌年死狱中，仍遭戮尸枭示，家族弟子多株连处斩，子长椿、兄嗣璟等流放三千里。
康熙四十五年丙戌,杭州府海宁县,陈世儒,"康熙四十一年(1702)乡试举人,康熙四十五年(1706)会试第一百五十九名,殿试第二甲第三十名,赐进士出身。","授刑部山西司主事,仕至江西建昌府知府。",,陈世信兄,,"(清)朱彭寿《旧典备征》卷四《科名佳话》页八八:""五子登科:浙江海宁陈饶子世儒,康熙丙戌进士”"
康熙四十五年丙戌,杭州府海宁县,许维楷,"康熙四十四年(1705)乡试举人,康熙四十五年(1706)会试第一百七十七名,殿试第三甲第二十一名;赐同进士出身。","未仕,终年七十八岁。",,,,《海宁州志稿》《人物志·文苑·清》：“许惟楷，字端平，号宜斋……康熙乙酉、丙戌联捷进士。兄惟枫殁，力肩抚孤，遂息意仕进，闭门矻矻手不释卷……终身不问医卜，其坚毅如此。卒年七十八。”
康熙四十八年己丑,杭州府海宁县,顾五达,康熙四十一年（1702）乡试第六十八名，康熙四十八年（1709）会试第二百四名，殿试第三甲第二十三名，赐同进士出身，授翰林院庶吉士。,康熙五十一年（1712）散馆，授翰林院检讨。,,,,
康熙四十八年己丑,杭州府海宁县,卢轩,康熙三十五年（1696）以大兴籍监生中式顺天乡试第一百十九名，因侨寄被劾，削籍斥归。后康熙南巡，献《圣德诗》十章，召试称旨，入南薰殿侍世宗于潜邸，与纂《佩文韵府》。康熙四十八年（1709）会试第七十名，殿试第三甲第三十二名，赐同进士出身，授翰林院庶吉士。,康熙五十一年（1712）散馆，授翰林院检讨。迁国子监司业，充武英殿总裁，与修《春秋传说汇纂》。终年五十六岁。,著有《春秋三传纂凡表》《韩笔韵蠡》《日堂文钞》《诗钞》。,,,（清）潘衍桐《两浙辅轩续录》第一册、卷四《卢轩》：“初名铭，字六以，海宁人。康熙己丑进士，官国子监司业。著《日堂诗钞》。《海昌备志》：“六以学有经术。康熙丙子，以大兴籍监生中式，旋因侨寄，被斥归。未几，召复举人，与纂《佩文韵府》。己丑成进士，授检讨，迁司业，与修《春秋传说汇纂》。”
康熙四十八年己丑,杭州府海宁县,管凤苞,康熙四十四年（1705）乡试第八十二名，康熙四十八年（1709）会试第二百四十八名，殿试第三甲第一百四十六名，赐同进士出身。,授直隶保定府高阳县知县，以事罢归。终年八十六岁。,著有《塞外纪行草》《读经笔记》。,,,
康熙五十一年壬辰,杭州府海宁县,查云标,"康熙四十七年（1708）乡试第四名, 康熙五十一年 (1712) 会试第十三名, 殿试第二甲第十五名, 赐进士出身。","康熙五十二年 (1713) 授内阁办事中书舍人, 雍正二年 (1724) 授礼部主客司主事。",,,,"《海宁州志稿》《人物志·文苑·清》: ""查云标, 字学庵, 号勉耘。为诸生时, 才望冠两浙。康熙壬辰进士, 历官主客司主事。性沉静, 读书不鹜虚名。既登仕籍, 于荣利泊如也。所著诗、古文、词咸中法度。"""
康熙五十二年癸巳,杭州府海宁县,陈世侃,"康熙四十七年 (1708) 乡试第七十五名, 康熙五十二年 (1713) 会试第一百四十九名, 殿试第三甲第二十五名, 赐同进士出身, 选翰林院庶吉士。","康熙五十四年 (1715) 散馆, 授翰林院检讨, 特授编修。康熙五十六年 (1717) 充山西乡试副考官。",著有《纲鉴辑要详注》《地理探原》。,"陈洗子, 陈世儒、陈世仁、陈世信弟",,《海宁州志稿》《人物志·文苑·清》：“陈世侃，字行之，号闻斋……康熙戊子，与兄世仁偕举于乡，癸已成进士，改庶吉士，授检讨。丁酉，典试山西，悉心甄拔，遍搜落卷，所得士往往登朝为名臣。平居纵览载籍，长于史事……所著《纲鉴辑要详注》《地理探原》共若干卷。”
康熙五十四年乙未,杭州府海宁县,陈邦直,康熙五十四年（1715）会试第一百一名，殿试第二甲第十三名，赐进士出身，选翰林院庶吉士。,康熙五十七年（1718）散馆，授翰林院编修，乞养归。乾隆南巡驻跸其家安澜园，恩晋翰林院侍读。,,曾祖元成，祖之阁，父元龙，母宋氏，生母王氏，具庆下。,娶汪氏。,
康熙五十四年乙未,杭州府海宁县,沈继贤,康熙四十四年（1705）乡试第四十二名，康熙五十四年（1715）会试第四十七名，殿试第二甲第十九名，赐进士出身。,授直隶永平府乐亭县知县，历山西太原府岚县、太原县知县，引老乞归。终年七十五岁。,,,,《海宁州志稿》《人物志·循吏·清》：“沈继贤，字传书，号鹤书。康熙乙未进士，授直隶乐亭知县，廉惠而有威……民咸德之。越五年，以缀征落职，民争先输纳，限内还故，官补山西岚县……廉名振三晋，调太原……引老乞归，训子孙义方，卒年七十五。”
康熙五十四年乙未,杭州府海宁县,陈武婴,康熙五十年（1711）乡试第二十五名，康熙五十四年（1715）会试第四十九名，殿试第二甲第三十二名，赐进士出身。,初任陕西西安府洛南县知县，以墨误罢。雍正十一年（1733）起补福建兴化府莆田县知县，复罢。乾隆八年（1743）再补福建建宁府崇安县知县。,,,,《清代官员履历档案全编》第一三册《雍正朝》页二：“陈武婴，浙江杭州府海宁县人，年肆拾柒岁，康熙伍拾肆年进士。原任陕西洛南县知县，雍正柒年柒月内，委解饷银，在静宁州地方失鞘银壹千两，经甘肃巡抚许容题参革职，著落分赔银伍百两，解交藩库。历俸伍年壹个月。”
康熙五十四年乙未,杭州府海宁县,陈世仁,康熙四十七年（1708）乡试第七十一名，康熙五十四年（1715）会试第三十八名，殿试第三甲第六十名，赐同进士出身，选翰林院庶吉士。,散馆授翰林院检讨。,著《少广补遗》《申论》。,祖元成，祖之间，父说，母查氏，具庆下。陈选第三子，世信、世侃兄。,,《海宁州志稿》《人物志·文苑·清》：“陈世仁，字元之，号换吾，清恪第三子。康熙戊子举人，乙未进士，入翰林……尝撰《少广补遗》付梓，见梅文鼎著《方程论》，以其义未周举，乃著《申论》六卷补之……以母夫人查氏年老失明，即乞终养。”
康熙五十七年戊戌,杭州府海宁县,张天翼,康熙五十六年（1717）乡试第十三名，康熙五十七年（1718）会试第七十三名，殿试第三甲第二十七名，赐同进士出身。,雍正三年（1725）授河南府偃师县知县，次年充河南乡试同考官。改浙江严州府建德县教谕，乾隆四年（1739）任直隶宣化府怀来县知县。终年七十八岁。,,,,《海宁州志》《循吏·进士·国朝》：“张天翼，字同彝，号佑斋。性孝友，读书工制艺。康熙戊戌进士，授河南偃师令。政尚平恕，不事严刑，纂《邑志略》十卷，语简事该。充丙午乡试同考，所取皆能文士。改建德教谕，朔望与诸生辨析经义，遇宾兴辄仿三场亲课之，天翼手批口答第高下悉合，在建十年，士习文体不变。迁直隶怀来知县，循声藉甚，罢归之日，士民攀辕追送，几不得行。居家杜门守正，励行穷经，卒年七十有八。”
康熙六十年辛丑,杭州府海宁县,祝寿名,廪监生。民籍。康熙五十三年（1714）顺天乡试第十二名，康熙六十年（1721）会试第二十六名，殿试第三甲第二十一名，赐同进士出身。,雍正元年（1723）授甘肃平凉府庄浪县知县，同年七月迁巩昌府凉州卫庄浪厅同知。,,山东济南府德州籍，浙江杭州府海宁县人。曾祖印，祖钦绪，父尔昌，母赵氏，严侍下。,娶氏？,《人物志·循吏·清》：“祝翼曾，字迪前，号补斋……子寿名，康熙辛丑进士，历凉州同知，檄办西藏军，以干济闻，卒于凉。初知庄浪县，多惠爱，遂葬于邑之大仙村。”
雍正元年癸卯,杭州府海宁县,许婷,康熙五十年（1711）乡试举人，雍正元年（1723）殿试第二甲第十七名，赐进士出身，选翰林院庶吉士。,雍正三年（1725）散馆，授翰林院编修。,著有《学稼轩集》。,,,
雍正元年癸卯,杭州府海宁县,马翼赞,雍正元年（1723）殿试第二甲第三十名，赐进士出身。,官山东东昌府濮州观城县知县。,著有《宝颖堂诗钞》。,,,
雍正元年癸卯,杭州府海宁县,陆宗楷,"雍正元年(1723)殿试第三甲第六十八名,赐同进士出身。","充景山官学教习,历翰林院检讨、日讲起居注官。乾隆朝,历迁国子监司业,司经局洗马,国子监祭酒,兵部、吏部侍郎,兵部、礼部尚书,充经筵讲官,补内阁学士。历充雍正七年(1729)、乾隆三十三年(1768)顺天乡试考官,乾隆三十一年(1766)会试考官。乾隆三十六年(1771)以原品休致。乾隆三十八年(1773)卒。",,,,
康熙,杭州府临安县,陈勋,康熙十四年（1675）乡试第二十九名，康熙十五年（1676）会试第九十二名，殿试第三甲第二十一名，赐同进士出身。,历任河南卫辉府辉县知县，陕西绥德州、甘肃阶州知州，授刑部主事，迁工部营缮司员外郎、刑部郎中，擢京畿道监察御史。罢归，终年八十七岁。,,,,《海宁州志稿》卷二八《人物志•循吏•清》：“陈勋……后以牵累罢归，卜居西郊，萧然物外，雅善丹青……卒，年八十七。”
康熙,杭州府钱塘县,汪肇衍,治《春秋》。顺治十四年（1657）乡试第五十九名，康熙三年（1664）会试第一百十名，殿试第二甲第三十四名，赐进士出身，选翰林院庶吉士。,康熙五年（1666）散馆，授刑部主事。以纂修《实录》，特授翰林院编修。康熙十一年（1672）充陕西乡试正考官。,,,,"《清圣祖实录》卷一二、康熙三年五月丙子：“谕吏部：选拔庶常原以作养人才，今科进士特
加简阅。取中……汪肇衍⋯⋯等十五员，俱著改为庶吉士，教习满书。”同上书卷二〇、康熙五年九月辛丑：“谕吏部：庶吉士申涵盼等教习已久，今加考试，分别授
职……邵吴远、吴元龙、劳之辨、汪肇衍、陈景仁、诸定远，以部属用。”"
康熙,杭州府钱塘县,许曰琮,治《易经》。顺治八年（1651）乡试第一百十八名，康熙六年（1667）会试第九十一名，殿试第三甲第四十名，赐同进士出身。,授内阁中书，康熙二十六年（1687）充陕西乡试副考官，累迁御史。,,,,
康熙,杭州府钱塘县,俞陈琛,,,,,,
康熙,杭州府钱塘县,徐灏,,,,,,
康熙,杭州府钱塘县,汪鹤孙,治《诗经》。康熙八年（1669）乡试第九名，康熙十二年（1673）会试第八名，殿试第三甲第二十二名，赐同进士出身，选翰林院庶吉士。,旋请假南归。著有《延芬堂集》《汇香词》《栖碧堂集》。,,,,"《清代诗文集汇编》一六二册、页一：“……康熙十二年（一六七三）进士，选翰林院庶吉士。心无宦情，虽早入词馆，旋请假南归。性好游，与孙枝蔚、冒襄、王士禛、赵执信等人相交。工诗词。有《延芬堂集》《汇香词》《栖碧堂集》等。参考文献：
《词林辑略》 卷二、《延芬堂集》卷上。〞
（清）王晫《今世说》卷六《伤逝》（《清代笔记小说大观》第一册页一七八）：“汪梅坡早年子女不育，哭之甚哀。每一念至，辄疑身是眼泪结成。汪名鹤孙，字雯远，浙江钱塘人。神情飞动，识解过人，钱虞山目为间钟之才。癸丑进士，官翰林。”"
康熙,杭州府钱塘县,徐潮,治《易经》。康熙十一年（1672）乡试第十四名，康熙十二年（1673）会试第三十名，殿试第三甲第十五名，赐同进士出身，选翰林院庶吉士。,康熙十四年（1675）散馆，授翰林院检讨，累迁詹事府少詹事，通政使司通政使，工部、刑部、兵部侍郎，都察院副都御史。充康熙十八年（1679）、三十三年（1694）会试考官。康熙三十九年（1700）任河南巡抚，康熙四十三年（1704）擢户部尚书，充经筵讲官兼日讲起居注，兼管翰林院掌院学士事，进吏部尚书。纂修《三朝国史》《平定方略》《明史》《佩文韵府》，三充钦差大臣，扈驾南巡。乞休，以原官致仕。康熙五十四年（1715）卒，终年六十九岁。乾隆九年（1744）追谥文敬。著有《愿学录》等。,,,《中国科举录汇编》第一三册《康熙二十一年壬戌科同年序齿录》：“赵珣，字伸琳，号绎亭。行二。已亥年六月初五日生。顺天府通州武清县民籍⋯⋯⋯继室徐氏，癸丑进士、现任翰林院检讨浩轩胞妹。”,"《中国科举录续编》第一七册页三八五《光绪六年庚辰科会试同年齿录》：“徐琪，字涵哉，号花农。行一，咸丰戊午年十二月二十九日吉时生。系浙江杭州府仁和县学优行廪膳生，民籍⋯⋯九世祖讳潮，字青来，号浩轩。诰授光禄大夫。康熙壬子举人，癸丑进士。翰林院检讨，左右春坊赞善、谕德、庶子，詹事府少詹，通政使司通政使，工部待郎，刑部侍郎，兵部侍郎，都察院副都御史，河南巡抚，户部尚书，经筵讲官兼日讲起居注，翰林院掌院学士，教习庶吉士，吏部尚书……赐谥文敬，晋赠太子太保、太子太傅、东阁大学士，谕赐祭葬，入祀贤良祠，《国史》列传。著有《愿学录》及《诗文集》，诗采入《杭郡诗辑》，省志及他省《名宦志》俱载政绩。”
（清）阮葵生《茶余客话》卷二《徐潮》（《清代笔记小说大观》第三册页二四九四）：“徐文敬公潮，先世业渔。生公之日，江潮大上，一小舟为风漂没，徐翁急救之，得无恙。僦舟者为邻省孝康入都赴试者，翁延至家，致鸡黍之敬。次日洗儿，请孝廉命名，以江潮之异，遂名曰潮。其后孝廉累不第，而文敬早达，至某科以编修分校，孝廉得售，适出其门。”"
