朝代,地区,姓名,名次,任官经历,著作,出身,婚嫁,轶事
康熙,杭州府钱塘县,郑江,治《尚书》。康熙五十二年 (1713) 乡试第四名，康熙五十七年(1718) 会试第四十八名，殿试第三甲第十名，赐同进士出身。选翰林院庶吉士，充明史馆栠修官。,散馆授翰林院检讨，充《大沛一统志》纂修官，迁衔事府右春坊右赞善，充山东乡试主考官，晋侍讲。雍正十三年 (1735) 提督安徽学政，以足疾解官。乾隆十年 (1745) 卒，终年六十四岁。著有《春秋集义 二十卷、《诗经集沽》四卷、《礼记集注》二卷。与修《明史》时著《明志稿）六卷、《明太祖本纪》八卷、《列传》十卷。所著《筠谷诗钞》七卷已刊刻。,,,,"《广清碑传集》卷七、全祖望《郑侍读筼谷先生墓碑铭》： ＂筼谷先生郑氏，讳江，字玑尺，浙之杭州府钱塘县人。由康熙戊戌进士改庶常，授检讨，同修《明史》，再参《一统志》局事。迁赞善，提督江安学政。迁侍读，以足疾乞解官……所著有《筼谷诗集》，已行世。”
书卷一二五《词臣》之《郑江》（行状，杭世骏撰）：“公姓郑氏，名江，字玑尺，晚号筼谷……曾祖少南以授经来钱唐，娶于赵，遂家焉……戊戌成进士，改庶常……充明史馆纂修官……授检讨。复丁母忧归里，巡抚李敏达公聘主敷文书院……服阙入词馆，大宗伯吴县吴文恪公奏充《大清一统志》蔡修官……甲寅，晋右春坊右赞善……视学安徽（以足疾乞告回籍）……晚集诸家之说为《春秋集义》二十卷……又为《诗经集诘》四卷、《礼记集注》二卷。与修《明史》时有《明志稿 》六卷、《 明太祖本纪》八卷、 《列传》十卷。修《 纲目》时有《明纲目》三卷……巳刻《筠谷诗钞》七卷……未刻者又《书带草堂诗钞》三十三卷、《 文集》 八卷、 《赋四六》共一卷、《词》一卷。其他若《析醒录》三卷、 《粤东纪游》一卷，则公之杂著也……公生于康熙壬戌二月二十六日，终于乾隆乙丑二月二十九日，春秋六十有四。”
《清代诗文集汇编》第二五 册、页四八五：“郑江，字玑尺，号赁谷，晚号筠谷，浙江钱塘（今属杭州）人。生于康熙二十一年（一六八二），卒于乾隆十年（一七四五）。康熙五十七年（一七一八）进士，选翰林院庶吉士，充明史馆纂修官。散馆授检讨，官至翰林院侍讲，以足疾告归。性淡泊，有指其失及改定者，终身敬礼之。尝从长洲何婥遊，湛深经学，诗文长于抒情。有《筠谷诗钞》《书带草堂诗文集》等。参考文献：《清史列传》卷六八、《国朝诗人徵略》卷二一、《词林辑略》卷二。"
康熙,杭州府钱塘县,戴洪禌,治《礼记》。康熙五十六年 (1717) 顺天乡试第五十九名，康熙五十七年 (1718) 会试第二十名，殿试第三甲第八十七名，赐同进士出身。,留京教习期满，考取一等第十八名，授陕西延安府安定县知县。,,内阁文库《康熙五十七年进士登科录》：“第三甲一百二十二名，赐同进士出身：戴洪磁，贯浙江省杭州府钱塘县，民籍。监生，治《礼记》。字稚绳，行一，年四十五岁，九月初八日生。曾祖汝秀，祖大受，父尚友，生母彭氏，母吴氏，继母岳氏，永感下 娶江氏。丁酉科乡试第五十九名，会试第二十名。”,,
康熙,杭州府钱塘县,顾兆麟,治《春秋》。康熙四十一年 (1702)试第三十九名，康熙五十七年 (1718) 会试第十九名，殿试第三甲第九十五名，赐同进士出身。,,,"内阁文库《康熙五十七年进士登科录》：“第三甲一百二十二名，赐同进士出身：顾兆麟，贯浙江杭州府钱塘县民籍。膜膳生，治《春秋》。字圣郊，行一，年四十一岁，八月初四日生。曾祖
溃，祖俊，父正乾，母莫氏，永感下。娶符氏。壬午科乡试第三十九名，会试第十九名。”",,
康熙,杭州府钱塘县,姜邵湘,治《尚书》。康熙五十六年 (1717)顺天乡试第二十二名，康熙六十年 (1721) 会试第四十九名，殿试第二甲第六名，赐进士出身，选翰林院庶吉士。散馆改知县，,雍正二年 (1724) 授山东青州府临淄县知县，雍正四年 (1726) 任永州府知府，雍正十一年 (1733) 捆湖广荆州道。,,,,《清代官员履历档案全编》第第一四册《雍正朝》页三〇九：“臣姜邵湘，浙江杭州府钱塘县人，年四十二岁。由贡生中康熙五十六年丁酉科第二十二名举人，六十年辛丑科第二甲第六名进士，授翰林院庶吉士。恭逄皇上御极以来广开言路，著庶吉士各上奏折，又命翰林官撰拟圣谕广训，臣以新进下士谬陈管见，妄渎宸聪。恩科会试钦点外帘官，十月二十六日引见，奉旨以州县用。今蒙挑选同知，恭候引见。”
康熙,杭州府钱塘县,姚之驸,廪膳生。商籍。康熙四十六年 (1707)南巡，献《类林新咏》，明年乡试第三名，康熙六十年 (1721) 会试第四十四名，殿试第二甲第八名，赐进士出身，选翰林院庶吉士。雍正元年 (1723) 散馆，授翰林院编修，雍正四年 (1726)陕西道监察御史，雍正七年 (1729) 调直隶保定正定河间等处监察御史。著有《后汉书补逸》《元明事类钞》《古今体诗》。,,,,,
康熙,杭州府钱塘县,沈成琏,附生。民籍。康熙五十九年 (1720) 乡试第九十八名，康熙六十年 (1721) 会试第一百二十五名，殿试第三甲第十名，赐同进士出身。,"雍正元年(1723), 由内官学习教习补授内阁办事中书舍人，累迁宗人府主事。",,曾祖君相，祖肇昌，父廷献，母王氏，具庆下。娶姚氏。庚子科乡试第九十八名，会试第一百二十五名。”,,
康熙,杭州府钱塘县,王溥,,,,曾祖士龙，祖名世，父修玉，母诸氏，继母沈氏，永感下。娶汪氏，继娶厉氏。乙酉科乡试第三十四名，会试第二十五名。”,,
康熙,杭州府钱塘县,王元穉,,,,,,
康熙,杭州府钱塘县,王乔林,,,,,,
康熙,杭州府海宁州,沈珩,灶籍。治《易经》。顺治十七年（1660）乡试第十八名，康熙三年（1664）会试第一名（会元），殿试第二甲第一名（传胪），赐进士出身。归家，十五年不仕。,康熙十八年（1679）荐举博学宏词入格，授翰林院编修，纂修《明史》，同年充顺天府乡试副主考。以疾乞归，康熙三十四年（169S）卒，终年七十七岁。沈珩著作甚丰，在经学、史学、文学、笔记、养生医药等方面均有著述或纂辑。,,,,
